Words;Tag;;;
rapi;JJ;;;
bh-nya;;;;
lumat;JJ;;;
bawa;VB;;;
ke belakang;NN;;;
memeluk,;;;;
mencari;VB;;;
kancing;NN;;;
pengait;NN;;;
berapa;WH,SC;;;
pembungkus;NN;;;
tersembul;;;;
kecoklatan;NN;;;
akh;;;;
benar-benar;RB;;;
merupakan;VB;;;
berwisata;VB;;;
paling;RB;;;
indah;JJ;;;
menakjubkan;VB;;;
seantero;CD;;;
jagat;;;;
gregetan;;;;
terawat;VB;;;
terdengar;VB;;;
nafas;NN;;;
teratur;VB,JJ;;;
kadang;;;;
menghembuskan;VB;;;
hidung;NN;;;
cepat;JJ;;;
mendesah;VB;;;
membiarkan;VB;;;
tertahankan;VB;;;
rebahkan;;;;
melumat;VB;;;
mengatakan;VB;;;
ben;;;;
sini,;;;;
aja;;;;
ajak;VB;;;
berjalan;VB;;;
menuju;VB;;;
mengikuti;VB;;;
pintu;NN;;;
ditutup;VB;;;
dikunci;VB;;;
telnjang;;;;
lalu;CC,VB;;;
bersandar;VB;;;
tembok;NN;;;
cumbuan;NN;;;
jenjang;NN;;;
menggelitik;VB;;;
telinga;NN;;;
pertanda;NN;;;
menjadi-jadi;VB,JJ;;;
saking;;;;
gemesnya;;;;
bongkahan;;;;
montoknya;;;;
terlebih;JJ;;;
menurunkan;VB;;;
daerah;NN;;;
puncak;NN;;;
bukit;NN;;;
kembar;;;;
menggelantung;VB;;;
jongkok;;;;
menggerogoti;;;;
puting susu;NN;;;
menggelinjang;;;;
sesekali;;;;
melenguh;;;;
jilat;VB;;;
gigit;VB;;;
kulum;;;;
bertumpu;VB;;;
dinding;NN;;;
mengendor;VB;;;
mengaitkan;VB;;;
srreet;;;;
raba;NN;;;
kenyal;;;;
sekenyal;;;;
berikut;VB;;;
mencapai;VB;;;
selangkangannya,;;;;
capek;;;;
nih.;;;;
sebelum;SC;;;
membalikkan;VB;;;
memelorotkan;;;;
mini;VB,JJ;;;
hadapan;NN;;;
manis;JJ;;;
wow;;;;
itu,;;;;
kepingin;;;;
menggumuli;VB;;;
mendekati;VB;;;
lincah;JJ;;;
celana panjang;NN;;;
kini;;;;
bukan;NEG;;;
bugil;;;;
kemaluan;NN;;;
menandakan;VB;;;
siap tempur;VB;;;
kapan;WH,SC;;;
lampu hijau;NN;;;
menyala;VB;;;
menggandeng;VB;;;
ranjang;NN;;;
pinggir;NN;;;
berbalik;VB;;;
mengisyaratkan;VB;;;
agar;SC;;;
sisi;VB,NN;;;
oh;;;;
rakusnya;;;;
gila;JJ;;;
ganasnya;;;;
pula;RB;;;
menggigit;VB;;;
menjilat;VB;;;
mengisap;VB;;;
jeda;NN;;;
kepala;NN;;;
maju;VB;;;
mundur;VB;;;
mengisapi;VB;;;
kempot;;;;
pipi;NN;;;
berusaha;VB;;;
mati-matian;JJ,NN;;;
menahan;VB;;;
ejakulasi;;;;
mengimbangi;VB;;;
permainan;NN;;;
meringis;JJ;;;
jurus;NN;;;
pamungkasnya;;;;
mencumbui;;;;
sumsum;;;;
15;CD;;;
menit;NND;;;
merebahkan;;;;
mengerti;JJ;;;
gantian;NN;;;
aktif;JJ;;;
tindih;VB;;;
mengalihkan;VB;;;
sesuatu;PRP;;;
mengangkangkan;;;;
lebar-lebar;JJ;;;
membenamkan;VB;;;
sekitar;IN,NN,RB;;;
vaginanya;;;;
lingkarkan;VB;;;
memerah;VB;;;
sewaktu;JJ;;;
mandi sudah;VB;;;
dibersihkan;VB;;;
disabun;VB;;;
baik;JJ;;;
bau;NN;;;
ditambah;VB;;;
menurut;;;;
pengakuan;NN;;;
meminum;VB;;;
ramuan;NN;;;
pengharum;NN;;;
vagina;;;;
hebat;JJ;;;
desahan;NN;;;
seru;JJ;;;
tarian;NN;;;
sanggamanya;;;;
kecil;JJ;;;
gelitik;VB;;;
julurkan;VB;;;
menggeser-geser;VB;;;
berdenyut;VB;;;
kembang kempis;VB;;;
akhirnyaben,;;;;
ohh,;;;;
ben,;;;;
udahh,;;;;
entot;;;;
memohon;VB;;;
kepada;IN;;;
menyetubuhinya;;;;
mengatur;VB;;;
lorong;NN;;;
genjot;VB;;;
perawan;NN;;;
jantan;JJ;;;
sempit;JJ;;;
liangnya;;;;
makin;RB;;;
ketagihan;NN;;;
lama-kelamaan;JJ,NN;;;
percepat;;;;
gerakan;VB,NN;;;
demi;IN,SC;;;
coba;VB;;;
dukungan;NN;;;
di mana;PR,PRP;;;
tahu;VB,NN;;;
semuanya;RB;;;
terbang;VB;;;
tinggi;JJ;;;
terakhir;OD;;;
mengejang;;;;
membasahi;VB;;;
memburu;VB;;;
muncrat;;;;
banyak;CD;;;
barang;NN;;;
kehangatan;NN;;;
liang sanggama;NN;;;
apa lagi;PR,PRP;;;
tertidur;VB;;;
sempat;;;;
alamak;;;;
setengah;CD;;;
pulas;;;;
seindah;JJ;;;
bersenggama;;;;
dengannya;;;;
memandangi;VB;;;
hati;VB,NN;;;
akhirnya;;;;
ngelampiasin;;;;
pendam;VB;;;
ini.;;;;
thanks;;;;
san,;;;;
kalo;;;;
kagak;NEG;;;
tau;;;;
ini,;;;;
kecup;NN,NND,VB;;;
kening;NN;;;
berpakaian;VB;;;
pergi;VB;;;
lihat;VB;;;
meja;NN;;;
mengingatkan;VB;;;
sebentar lagi;JJ;;;
keluarga;NN;;;
konyol;NN;;;
kepergok;;;;
berduaan;VB;;;
noda;NN;;;
darah;NN;;;
sprei;;;;
bangunkan;VB;;;
sebaiknya;RB;;;
main;VB;;;
villa;;;;
bogor;;;;
aman;JJ;;;
bebas;JJ;;;
dipijat;;;;
gadis-gadis;NN;;;
muda;JJ;;;
...;;;;
tiga;CD;;;
aneh;JJ;;;
part;;;;
ii;;;;
bisnis;NN;;;
kenal;VB;;;
ditidurin;;;;
punuk;NN;;;
menemukan;VB;;;
bulan;NN;;;
07:35;CD;;;
85;CD;;;
jay;;;;
lokasi;NN;;;
syuting;;;;
ia;PRP;;;
figuran;NN;;;
sinetron;;;;
berkisah;VB;;;
tentang;VB;;;
dunia;NN;;;
kampus;NN;;;
melintasi;VB;;;
sebuah;;;;
ruangan;NN;;;
berwarna;VB;;;
kuning;JJ;;;
perhatian;NN;;;
melongok;;;;
kursi;VB,NN;;;
warna;NN;;;
hitam;JJ;;;
kotak;NN;;;
donat;;;;
diatas;VB;;;
